ID,age,gender,occupation,job_role,country,programming_language,contribution_or_not,used_or_not,rate_BlockSOP,interest_BlockSOP,workon_BlockSOP,difficulty_BlockSOP,enhance_motivation,reduce_leakage,stable_income_BlockSOP,inc_Trust_BlockSOP,Openness,Trust,Fairness,Transparency,Security
ID_0038,18-24,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Extremely interested,Definitely,Easy,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral
ID_0039,25-34,Male,Academic or industrial researcher,Development,United States (USA),Java,TRUE,TRUE,Extremely Good,Interested,Definitely,Very Easy,Agree,Agree,Agree,Neutral,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied
ID_0040,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Definitely,Average,Agree,Agree,Strongly Disagree,Strongly Agree,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Neutral
ID_0041,45 or older,Male,Undergraduate/graduate student,Development,China (CHN),C/C++,FALSE,TRUE,Extremely Good,Extremely interested,Definitely,Average,Strongly Disagree,Strongly Agree,Agree,Disagree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0042,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Good,Interested,Unlikely,Average,Agree,Neutral,Agree,Strongly Agree,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied
ID_0043,18-24,Male,Academic or industrial researcher,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Interested,Possibly,Average,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0044,25-34,Female,Industrial or freelance professional,Development,Canada (CAN),Python,TRUE,FALSE,Extremely Good,Extremely interested,Definitely,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Neutral,Neutral,Very Satisfied
ID_0045,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied
ID_0046,45 or older,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Definitely,Very Easy,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0047,35-44,Female,Industrial or freelance professional,Development,Russia (RUS),C/C++,TRUE,TRUE,Extremely Good,Interested,Definitely,Difficult,Agree,Strongly Agree,Strongly Agree,Agree,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Neutral
ID_0048,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Not interested,Possibly,Average,Strongly Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied
ID_0049,25-34,Female,Industrial or freelance professional,Development,China (CHN),PHP,TRUE,TRUE,Good,Interested,Definitely,Difficult,Strongly Agree,Agree,Strongly Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0050,25-34,Female,Industrial or freelance professional,Development,China (CHN),Go,TRUE,TRUE,Good,Extremely interested,Definitely,Easy,Agree,Strongly Agree,Disagree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0051,35-44,Female,Academic or industrial researcher,Development,China (CHN),C/C++,TRUE,TRUE,Good,Interested,FALSE,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0052,18-24,Male,Industrial or freelance professional,Development,China (CHN),Python,FALSE,TRUE,Average,Extremely interested,Definitely,Difficult,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0053,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Easy,Strongly Agree,Agree,Strongly Agree,Agree,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied
ID_0054,35-44,Male,Others,Development,China (CHN),Java,TRUE,TRUE,Extremely Good,Not interested,Unlikely,Average,Agree,Neutral,Agree,Neutral,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0055,25-34,Male,Academic or industrial researcher,Development,China (CHN),Java,TRUE,TRUE,Good,Not interested,Possibly,Easy,Strongly Agree,Agree,Neutral,Neutral,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied
ID_0056,18-24,Female,Academic or industrial researcher,Development,China (CHN),Java,TRUE,FALSE,Extremely Good,Interested,Possibly,Difficult,Disagree,Strongly Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0057,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Not interested,Definitely,Average,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied
ID_0058,25-34,Female,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,FALSE,Average,Extremely uninterested,Possibly,Average,Agree,Disagree,Agree,Agree,Satisfied,Neutral,Very Satisfied,Very Satisfied,Neutral
ID_0059,18-24,Female,Industrial or freelance professional,Others,China (CHN),Java,TRUE,TRUE,Good,Interested,Possibly,Easy,Disagree,Strongly Agree,Disagree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0060,25-34,Male,Industrial or freelance professional,Testing,Canada (CAN),Python,TRUE,TRUE,Good,Extremely interested,Unlikely,Average,Agree,Agree,Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0061,25-34,Male,Academic or industrial researcher,Development,China (CHN),C/C++,TRUE,TRUE,Good,Extremely interested,FALSE,Average,Agree,Neutral,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0062,25-34,Male,Industrial or freelance professional,Development,Russia (RUS),Python,TRUE,TRUE,Good,Average,Possibly,Average,Agree,Disagree,Agree,Strongly Disagree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0063,35-44,Male,Industrial or freelance professional,Development,Canada (CAN),Python,TRUE,FALSE,Extremely Good,Not interested,Possibly,Difficult,Agree,Agree,Strongly Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0064,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,FALSE,TRUE,Poor,Extremely interested,Definitely,Average,Agree,Disagree,Agree,Disagree,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Dissatisfied
ID_0065,35-44,Male,Academic or industrial researcher,Development,Japan (JPN),Java,TRUE,TRUE,Extremely Good,Not interested,Definitely,Average,Strongly Agree,Disagree,Disagree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0066,35-44,Male,Undergraduate/graduate student,Development,United States (USA),Python,TRUE,FALSE,Good,Average,Possibly,Average,Strongly Agree,Neutral,Agree,Agree,Very Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0067,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Good,Extremely interested,Definitely,Easy,Neutral,Agree,Strongly Agree,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0068,25-34,Male,Others,Development,China (CHN),JavaScript,TRUE,TRUE,Good,Extremely interested,Definitely,Very Difficult,Agree,Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0069,25-34,Male,Academic or industrial researcher,Development,China (CHN),JavaScript,FALSE,TRUE,Good,Not interested,Definitely,Average,Strongly Disagree,Agree,Agree,Agree,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
ID_0070,25-34,Female,Industrial or freelance professional,Development,United States (USA),Python,TRUE,FALSE,Good,Extremely interested,Definitely,Average,Disagree,Agree,Agree,Strongly Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0071,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Average,Extremely interested,Definitely,Average,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0072,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Average,Extremely interested,Possibly,Very Easy,Agree,Disagree,Agree,Disagree,Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied
ID_0073,25-34,Male,Industrial or freelance professional,Development,Canada (CAN),Python,TRUE,FALSE,Extremely Good,Extremely interested,Definitely,Average,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0074,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,FALSE,FALSE,Good,Interested,Definitely,Average,Agree,Strongly Agree,Agree,Agree,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0075,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,FALSE,TRUE,Extremely Good,Interested,Definitely,Average,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0076,25-34,Male,Undergraduate/graduate student,Development,United States (USA),C/C++,TRUE,FALSE,Extremely Good,Extremely interested,Definitely,Average,Agree,Strongly Agree,Strongly Disagree,Agree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0077,25-34,Male,Industrial or freelance professional,Testing,China (CHN),Java,TRUE,TRUE,Average,Extremely interested,Unlikely,Average,Disagree,Strongly Agree,Disagree,Disagree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0078,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Good,Average,Possibly,Average,Agree,Strongly Disagree,Agree,Strongly Agree,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0079,18-24,Male,Undergraduate/graduate student,Development,China (CHN),Java,TRUE,TRUE,Good,Interested,Definitely,Very Difficult,Strongly Agree,Agree,Neutral,Strongly Disagree,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0080,25-34,Male,Industrial or freelance professional,Development,Russia (RUS),Java,TRUE,TRUE,Good,Interested,Unlikely,Difficult,Agree,Agree,Agree,Strongly Agree,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied
ID_0081,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Possibly,Difficult,Neutral,Agree,Agree,Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0082,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Good,Extremely interested,Definitely,Easy,Agree,Agree,Agree,Disagree,Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0083,25-34,Male,Industrial or freelance professional,Development,Canada (CAN),Java,TRUE,TRUE,Good,Not interested,Definitely,Easy,Agree,Disagree,Agree,Strongly Agree,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied
ID_0084,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0085,25-34,Male,Industrial or freelance professional,Development,United States (USA),Java,FALSE,TRUE,Good,Extremely interested,Possibly,Average,Agree,Neutral,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0086,Under 18,Prefer not to say,Industrial or freelance professional,Development,China (CHN),JavaScript,TRUE,TRUE,Good,Average,Unlikely,Average,Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0087,35-44,Male,Industrial or freelance professional,Testing,Japan (JPN),Python,TRUE,TRUE,Good,Average,Definitely,Average,Disagree,Agree,Neutral,Strongly Agree,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied
ID_0088,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,FALSE,TRUE,Good,Extremely interested,Definitely,Average,Agree,Agree,Strongly Disagree,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0089,25-34,Female,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Extremely Poor,Extremely interested,FALSE,Difficult,Agree,Agree,Strongly Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied
ID_0090,18-24,Male,Industrial or freelance professional,Development,Canada (CAN),Python,TRUE,FALSE,Average,Interested,Definitely,Very Easy,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0091,25-34,Male,Industrial or freelance professional,Testing,China (CHN),C/C++,TRUE,FALSE,Extremely Good,Average,Definitely,Average,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Neutral
ID_0092,35-44,Male,Academic or industrial researcher,Development,China (CHN),C/C++,TRUE,TRUE,Good,Interested,Definitely,Average,Strongly Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied
ID_0093,35-44,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Average,Extremely interested,Definitely,Very Difficult,Disagree,Strongly Agree,Agree,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0094,25-34,Male,Industrial or freelance professional,Testing,China (CHN),Java,TRUE,TRUE,Average,Interested,Definitely,Average,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0095,35-44,Male,Academic or industrial researcher,Testing,China (CHN),Java,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Average,Agree,Disagree,Agree,Agree,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0096,25-34,Male,Industrial or freelance professional,Development,United States (USA),Python,TRUE,TRUE,Average,Extremely interested,Definitely,Easy,Disagree,Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0097,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,FALSE,Good,Extremely interested,Definitely,Difficult,Strongly Disagree,Disagree,Agree,Neutral,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral
ID_0098,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Agree,Strongly Agree,Disagree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0099,18-24,Female,Industrial or freelance professional,Testing,China (CHN),Python,TRUE,TRUE,Extremely Good,Interested,Possibly,Average,Neutral,Disagree,Agree,Agree,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied
ID_0100,25-34,Male,Industrial or freelance professional,Development,Russia (RUS),Python,TRUE,FALSE,Extremely Good,Interested,Definitely,Very Difficult,Agree,Agree,Neutral,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied
ID_0101,18-24,Male,Industrial or freelance professional,Development,Russia (RUS),Java,FALSE,TRUE,Good,Interested,Unlikely,Easy,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0102,25-34,Male,Academic or industrial researcher,Development,China (CHN),C/C++,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Disagree,Agree,Disagree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0103,35-44,Male,Industrial or freelance professional,Testing,China (CHN),C/C++,TRUE,FALSE,Extremely Good,Extremely interested,Unlikely,Average,Agree,Agree,Strongly Agree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0104,25-34,Male,Academic or industrial researcher,Development,United States (USA),JavaScript,FALSE,FALSE,Extremely Good,Extremely interested,Definitely,Average,Agree,Strongly Agree,Agree,Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0105,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,FALSE,Good,Extremely interested,Possibly,Very Difficult,Disagree,Strongly Agree,Strongly Disagree,Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0106,25-34,Male,Industrial or freelance professional,Development,China (CHN),Go,TRUE,TRUE,Good,Interested,Definitely,Difficult,Neutral,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0107,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Average,Extremely interested,Definitely,Easy,Agree,Disagree,Strongly Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0108,35-44,Male,Industrial or freelance professional,Development,China (CHN),JavaScript,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral
ID_0109,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,FALSE,TRUE,Extremely Good,Extremely uninterested,Unlikely,Average,Strongly Agree,Strongly Agree,Agree,Agree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
